ID,Date,Title,Description,URL,Actors,Writer,Gap
1,01/06/1974,The Old Ones Are Hard to Kill,An old lady rents a room to a sick boarder. She runs into problems with his strange deathbed confession.,https://www.cbsrmt.com/episode/1-the-old-ones-are-hard-to-kill.html,"1,2,3",4,
2,01/07/1974,The Return of the Moresbys,"A husband kills his wife for donating all their money. Now, he is certain that she has been reincarnated in the form of a cat to wreak revenge on him.",https://www.cbsrmt.com/episode/2-the-return-of-the-moresbys.html,"5,6,7,8",4,1
3,01/08/1974,The Bullet,An accident kills a man but he is made to return to Earth to trade places with the fated victim.,https://www.cbsrmt.com/episode/3-the-bullet.html,"9,10,11,12,2,7",13,1
4,01/09/1974,Lost Dog,"A husband cannot appreciate his wife's phobia of dogs. Once he gets one home, his wife sets it against him.",https://www.cbsrmt.com/episode/4-lost-dog.html,"14,15,16,17,18",4,1
5,01/10/1974,No Hiding Place,The would-be CEO of his father-in-law's corporation is threatened with the revelation of a dark deed in his past.,https://www.cbsrmt.com/episode/5-no-hiding-place.html,"9,19,20,21,22",23,1
6,01/11/1974,Honeymoon with Death,Her husband disappears after their return from the honeymoon and the young wife's sister insists that the nuptial was a mere fantasy. She attempts to persuade a cop that her husband was indeed killed.,https://www.cbsrmt.com/episode/6-honeymoon-with-death.html,"24,25,26,27",28,1
7,01/12/1974,I Warn You Three Times,A daring attempt to clear their car windows during a snowstorm leads to the mysterious disappearance of a woman's husband. The reasons turn out to be increasingly intriguing.,https://www.cbsrmt.com/episode/7-i-warn-you-three-times.html,"29,22,30,31,32",13,1
8,01/13/1974,Cold Storage,A man finds out that his believed to be dead mother is still living and unleashes a Machiavellian plan to acquire her wealth and property - by shutting her away in the basement.,https://www.cbsrmt.com/episode/8-cold-storage.html,"33,34,35,36,37",38,1
9,01/14/1974,Death Rides a Stallion,An old flame torments a playboy after her death in a horse riding accident.,https://www.cbsrmt.com/episode/9-death-rides-a-stallion.html,"29,6,39,40,41",13,1
10,01/15/1974,The Resident,A move from the countryside to town leaves a retired lady prey to a cat named Evil and a young girl who forcefully moves in with her!,https://www.cbsrmt.com/episode/10-the-resident.html,"42,17,30",43,1
11,01/16/1974,Accounts Receivable,"Burdened with the responsibility of his sick father who has been recently released from jail, a son must also struggle to find $15,000 and buy out his business associate in order to keep his business afloat",https://www.cbsrmt.com/episode/11-accounts-receivable.html,"44,45,46,47,16,38",23,1
12,01/17/1974,You Can Die Again,A husband believes himself culpable for the murder of his wife. He is also convinced of his affair with another woman. But he simply can't persuade a police officer to believe either.,https://www.cbsrmt.com/episode/12-you-can-die-again.html,"48,49,6,35,17",13,1
13,01/18/1974,A Ring of Roses,A trip to the country to visit a friend turns nightmarish as a couple comes across a small girl being whipped by a man. It's only the beginning of a journey back into an old family curse and a murder - all wrapped up in a ring.,https://www.cbsrmt.com/episode/13-a-ring-of-roses.html,"50,51,21,43,52,53",54,1
14,01/19/1974,The Girl Who Found Things,A young girl with criminal tendencies is taken by a couple who discover her peculiar talent for retrieving lost things - including corpses,https://www.cbsrmt.com/episode/14-the-girl-who-found-things.html,"27,55,35,16,56,57",4,1
15,01/20/1974,The Chinaman Button,A perfectly anonymous murder offers the opportunity to earn a fortune for a man in dire financial straits.,https://www.cbsrmt.com/episode/15-the-chinaman-button.html,"29,58,10,12,59",4,1
16,01/21/1974,Dead for a Dollar,"Two cheated men plan the murder of the trader who swindled them. Unbeknownst to them, somebody has already carried out the deed, relieved them of the rewards, but left the blame behind.",https://www.cbsrmt.com/episode/16-dead-for-a-dollar.html,"58,45,25,60,51,47",61,1
17,01/22/1974,A Very Old Man,A wizened man has clairvoyance abilities and even relieve physical suffering with a simple touch,https://www.cbsrmt.com/episode/17-a-very-old-man.html,"62,63,27,35",43,1
18,01/23/1974,And Nothing but the Truth,A young investigator guesses at the facts of a hit-and-run case and believes the convict to be a willing victim in lieu of his son. But he cannot prove it to his superior.,https://www.cbsrmt.com/episode/18-and-nothing-but-the-truth.html,"64,12,65,63,66",38,1
